elem		sequence	memory	random
2		0.002		36		0.002
4		0.004		64		0.003
8		0.008	 	128		0.007
16		0.017		256		0.015
32		0.048		512		0.041
64		0.096		1024		0.081
128		0.286		2048		0.193
256		0.898		4096		0.469
512		3.576		8192		1.471
1024		20.301	16384		6.953
2048		85.643	32768		30.911
4096		340.616	65536		130.062
8192		1375.928	131072	528.366
16384		5601.32	262144	2116.881
32768		21765.40	524288	8369.21
65536		105761.2	1048576	0.00
