elem		sequence	memory	random
2		0.003		48		0.003
4		0.004		96		0.006
8		0.008	 	192		0.010
16		0.018		384		0.021
32		0.050		768		0.050
64		0.108		1536		0.093
128		0.296		3072		0.222
256		0.924		6144		0.436
512		3.694		12288		0.946
1024		19.937	24576		1.955
2048		83.081	49152		4.194
4096		336.384	98304		8.896
8192		1321.69	196608	20.218
16384		5117.02	393216	46.455
32768		20264.1	786432	111.791
65536		89415.0	1572864	2124.687
